user_id,profile,study_hours,focus_score,completed_videos,breaks,active_days,streak_length,consistency_index,learning_efficiency,productivity_score,focus_trend,burnout_risk,completion_status,efficiency_ratio,break_overload,engagement_score,positive_momentum
STU_0001,consistent,3.11,78.2,41,2.8,20,9,75.4,24.32,54.2,-2.84,0,1,24.361370716510905,0,62.44285714285714,0
STU_0002,consistent,3.19,78.1,34,0.9,21,12,91.7,24.93,55.2,3.37,0,1,23.738601823708205,0,61.05714285714286,1
STU_0003,struggling,1.08,51.4,17,4.0,9,1,22.7,5.55,29.4,-4.69,1,0,43.5593220338983,0,23.67142857142857,0
STU_0004,struggling,1.65,16.5,4,5.3,10,1,43.9,2.71,20.4,-8.44,1,0,9.428571428571429,1,14.271428571428572,0
STU_0005,overachiever,5.42,81.8,43,1.3,29,27,94.9,44.38,77.2,-0.52,0,1,14.818840579710146,0,92.32857142857142,0
STU_0006,overachiever,5.29,95.7,46,1.0,26,27,97.9,50.66,80.5,3.08,1,1,17.75510204081633,0,91.72857142857143,1
STU_0007,overachiever,7.7,90.4,50,0.7,27,18,90.0,69.55,90.1,1.34,1,1,11.589743589743591,0,86.28571428571429,1
STU_0008,struggling,0.95,48.9,13,4.4,14,2,41.0,4.64,33.1,0.12,1,0,46.57142857142857,0,26.542857142857144,1
STU_0009,overachiever,5.94,85.7,45,0.5,28,24,93.5,50.9,75.6,0.81,0,1,14.188741721854305,0,89.71428571428571,1
STU_0010,consistent,3.87,79.0,50,2.1,21,5,82.1,30.6,63.4,5.18,0,1,19.8992443324937,0,66.35714285714286,1
STU_0011,consistent,4.38,72.4,36,1.7,21,15,82.7,31.73,57.3,2.67,0,1,16.16071428571429,0,65.87142857142857,1
STU_0012,struggling,2.48,23.2,19,8.0,7,2,23.1,5.75,21.3,-8.65,1,0,8.992248062015504,1,24.34285714285714,0
STU_0013,struggling,1.88,29.0,19,4.8,6,1,30.3,5.44,28.0,-0.87,1,0,14.646464646464647,0,22.271428571428572,0
STU_0014,struggling,0.5,42.2,17,6.2,4,2,20.2,2.11,24.4,-3.25,1,0,70.33333333333334,1,19.742857142857144,0
STU_0015,struggling,1.66,50.2,16,3.2,15,3,47.6,8.32,31.4,-6.25,1,0,28.522727272727273,0,31.014285714285716,0
STU_0016,struggling,2.17,45.0,21,7.8,6,0,32.1,9.77,29.0,-4.23,1,0,19.823788546255507,1,22.8,0
STU_0017,overachiever,7.47,91.8,50,1.2,27,20,85.0,68.53,88.5,-1.21,0,1,12.126816380449142,0,88.42857142857143,0
STU_0018,overachiever,6.4,93.2,45,1.6,27,20,97.2,59.64,79.8,2.52,1,1,14.338461538461539,0,84.42857142857143,1
STU_0019,struggling,1.66,30.3,23,5.1,14,0,45.5,5.03,34.8,-1.28,1,0,17.21590909090909,1,32.400000000000006,0
STU_0020,overachiever,6.91,100.0,48,1.8,29,22,96.8,69.12,90.8,2.5,0,1,14.265335235378032,0,90.97142857142856,1
STU_0021,consistent,5.85,56.3,44,0.7,25,12,76.2,32.96,55.8,2.85,0,1,9.46218487394958,0,73.05714285714285,1
STU_0022,struggling,3.17,62.1,25,6.2,11,3,35.2,19.71,41.4,-5.33,1,0,18.990825688073397,1,34.214285714285715,0
STU_0023,consistent,4.4,83.7,32,1.7,20,19,76.2,36.84,68.3,1.22,0,1,18.6,0,65.95714285714286,1
